code,name,produkmui,manufacture,cert_code,nilai,label,ingredients,ingredients_lama,ing0,ing1,ing2,ing3,ing4,ing5,ing6,ing7,ing8,ing9,ing10,ing11,ing12,ing13,ing14,ing15,ing16,ing17,ing18,ing19,ing20,ing21,ing22,ing23,ing24,ing25,ing26,ing27,ing28,ing29,ing30,ing31,ing32,cert_bodies,expired,cert_bodyname,homepage,location,status
84,Roma Crepes Roll Kelapa Wijen 12X7,Roma crepes roll kelapa wijen,Pt. mayora indah tbk,00100014301200,"0,5",1,kosong,kosong,kosong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Majelis Ulama Indonesia,,,Halal
85,Adem Sari Ching Ku Sparkling,Adem sari ching ku,Pt. bandeng juwana,15100045840320,"0,5",1,"air berkarbonat,air,gula,jus lemon,perisa identik alami jeruk lemon,asam sitrat,asam malat,ekstrak rumput gandum,kalium sorbat,ekstrak cincau,ekstrak krisantemum","air berkarbonat, air, gula, jus lemon, perisa identik alami jeruk lemon, pengatur keasaman (asam sitrat, asam malat), ekstrak rumput gandum, pengawet kalium sorbat, ekstrak cincau, ekstrak krisantemum.",air berkarbonat, air, gula, jus lemon, perisa identik alami jeruk lemon, pengatur keasaman asam sitrat, asam malat, ekstrak rumput gandum, pengawet kalium sorbat, ekstrak cincau, ekstrak krisantemum,,,,,,,,,,,,,,,,,,,,,,,,,Majelis Ulama Indonesia,,,Halal
86,Indomaret Gula Pasir Premium Putih,Gula pasir putih indomaret,Pt. sweetindo perkasa,00230110871120,"0,5",1,kosong,kosong,kosong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Majelis Ulama Indonesia,,,Halal
87,Adem Sari Ching Ku Lemon,Adem sari ching ku,Pt. bandeng juwana,15100045840320,"0,5",1,"air,gula,jus lemon","air, gula, jus lemon.",air, gula, jus lemon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Majelis Ulama Indonesia,,,Halal
88,Bejo Wedang Susu Jahe Merah,Bejo wedang susu jahe merah / bejo sujamer,Pt. bintang toedjoe, 00130089980818,"0,5",1,kosong,kosong,kosong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Majelis Ulama Indonesia,,,Halal
89,Tini Wini Biti Crackers Cokelat,Tini wini biti whizpy cokelat,Pt. konimex,00100006500997,"0,5",1,kosong,kosong,kosong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Majelis Ulama Indonesia,,,Halal
90,Bernardi Sup Merah,Bernardi sup merah,"Eloda mitra, pt.",065/spkp/mui-jatim,"0,5",1,kosong,kosong,kosong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Majelis Ulama Indonesia,,,Halal
92,Indomaret Biscuit Milk Chocolate,Indomaret biscuit  milk chocolate,Pt. marvel food industry,01111129170515,"0,5",1,"gula,biskuit,lemak kakao,susu bubuk,kakao massa,susu skim bubuk,Pengemulsi Lesitin Kedelai,perisa sintetik,antioksidan tokoferol,pelapis syelak,penstabil gom arab,garam","gula, biskuit, lemak kakao, susu bubuk, kakao massa, susu skim bubuk, pengemulsi lesitin kedelai, perisa sintetik, antioksidan tokoferol, pelapis syelak, penstabil gom arab, garam",gula, biskuit, lemak kakao, susu bubuk, kakao massa, susu skim bubuk, pengemulsi lesitin kedelai, perisa sintetik, antioksidan tokoferol, pelapis syelak, penstabil gom arab, garam,,,,,,,,,,,,,,,,,,,,,,,,Majelis Ulama Indonesia,,,Halal
93,Indomaret Gula Batu,Gula batu indomaret,Pt. sweetindo perkasa,00230110871120,"0,5",1,gula batu,gula batu.,gula batu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Majelis Ulama Indonesia,,,Halal
94,Indomaret Blueberry Dark Chocolate,Indomaret blueberry dark chocolate,Pt. marvel food industry,01111129170515,"0,5",1,kosong,kosong,kosong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Majelis Ulama Indonesia,,,Halal
