,Produk,produkindo,produkmui,produsen,sertif,nilai
1228,Goldenfil Jam Strawberry|Strawberry jam|Ud.bali asli|08250005461112|0.4,Goldenfil Jam Strawberry,Strawberry jam,Ud.bali asli,08250005461112,0.4
849,Indomaret Keripik Buah Salak|Keripik salak darsa|Darsa|02100017960121|0.4,Indomaret Keripik Buah Salak,Keripik salak darsa,Darsa,02100017960121,0.4
49,Mogu-Mogu Minuman Nata De Coco Grape|Arora minuman nata de coco|Pt.kosena lestari makmur|303/spkp/mui-jatim|0.4,Mogu-Mogu Minuman Nata De Coco Grape,Arora minuman nata de coco,Pt.kosena lestari makmur,303/spkp/mui-jatim,0.4
48,Mogu-Mogu Minuman Nata De Coco Coconut|Arora minuman nata de coco|Pt.kosena lestari makmur|303/spkp/mui-jatim|0.4,Mogu-Mogu Minuman Nata De Coco Coconut,Arora minuman nata de coco,Pt.kosena lestari makmur,303/spkp/mui-jatim,0.4
850,Indomaret Keripik Balado|Balado kentang zacky|Keripik kentang zacky|02120016811120|0.4,Indomaret Keripik Balado,Balado kentang zacky,Keripik kentang zacky,02120016811120,0.4
831,Indomaret Bumbu Lada Putih|Lada alam lada putih|Lada alam|00060109051120|0.4,Indomaret Bumbu Lada Putih,Lada alam lada putih,Lada alam,00060109051120,0.4
464,Garuda Kacang Atom|Kacang atom|Bellarosa abadi|17100044921218|0.4,Garuda Kacang Atom,Kacang atom,Bellarosa abadi,17100044921218,0.4
34,Chocolatos Chocolate Drink|Drink chocolatos|Kedai suka-suka|06160015660320|0.4,Chocolatos Chocolate Drink,Drink chocolatos,Kedai suka-suka,06160015660320,0.4
1013,Gingerbon Permen Jahe|Permen kopyos jahe|Permen kopyos-bpjph2020|08190012421120|0.4,Gingerbon Permen Jahe,Permen kopyos jahe,Permen kopyos-bpjph2020,08190012421120,0.4
690,Rebo Kuaci Green Tea|Tema green tea|Tema tea|00120101910120|0.4,Rebo Kuaci Green Tea,Tema green tea,Tema tea,00120101910120,0.4
735,Oishi Snack Stick Makado Sapi Panggang|Hana snack stick kentang rasa sapi panggang|Rdmk hana snack|15100026040817|0.4,Oishi Snack Stick Makado Sapi Panggang,Hana snack stick kentang rasa sapi panggang,Rdmk hana snack,15100026040817,0.4
1225,Heavenly Blush Tummy Yogurt Bar Berries|Heavenly blush tummyogurt bar berries|Pt. heavenly nutrition indonesia|00100076870516|0.4,Heavenly Blush Tummy Yogurt Bar Berries,Heavenly blush tummyogurt bar berries,Pt. heavenly nutrition indonesia,00100076870516,0.4
1006,Lotte Chewing Gum Sugar Free Xylitol Fresh Mint|Lotte xylitol permen karet rasa mint (lotte xylitol chewing gum fresh mint)|Pt. lotte indonesia|00110006731197|0.4,Lotte Chewing Gum Sugar Free Xylitol Fresh Mint,Lotte xylitol permen karet rasa mint (lotte xylitol chewing gum fresh mint),Pt. lotte indonesia,00110006731197,0.4
88,Indomilk Susu Kental Manis Putih|Susu kental manis cokelat - indomilk can|Pt. indolakto|00040009041098|0.4,Indomilk Susu Kental Manis Putih,Susu kental manis cokelat - indomilk can,Pt. indolakto,00040009041098,0.4
840,Indomaret Garam|Garam indomaret|Pt. cheetham garam indonesia|00060047360308|0.4,Indomaret Garam,Garam indomaret,Pt. cheetham garam indonesia,00060047360308,0.4
680,Monde Butter Cookies|Clarinta cookies|Yona  butter cookies|01201225260419|0.4,Monde Butter Cookies,Clarinta cookies,Yona  butter cookies,01201225260419,0.4
370,Laverland Crunch Snack Seaweed Wasabi|Laverland crunch crispy seaweed snack almond|Asia food co.-korea|00100082470417|0.4,Laverland Crunch Snack Seaweed Wasabi,Laverland crunch crispy seaweed snack almond,Asia food co.-korea,00100082470417,0.4
1224,Heavenly Blush Tummy Yogurt Bar Lime|Heavenly blush tummyogurt bar lime|Pt. heavenly nutrition indonesia|00100076870516|0.4,Heavenly Blush Tummy Yogurt Bar Lime,Heavenly blush tummyogurt bar lime,Pt. heavenly nutrition indonesia,00100076870516,0.4
844,Indomaret Beras Pulen Wangi Premium|Indomaret beras pulen wangi|Pt. food station tjipinang jaya|00190095100419|0.4,Indomaret Beras Pulen Wangi Premium,Indomaret beras pulen wangi,Pt. food station tjipinang jaya,00190095100419,0.4
461,Garuda Kacang Garing|Kacang garing marroan|Ud. marroan|09100013340720|0.4,Garuda Kacang Garing,Kacang garing marroan,Ud. marroan,09100013340720,0.4
68,Buavita Juice Mango|Juice mango|Daily catering|00340106440920|0.4,Buavita Juice Mango,Juice mango,Daily catering,00340106440920,0.4
989,Indomaret Kacang Bumbu|Bumbu kacang|Keripik bunda|05100020321120|0.4,Indomaret Kacang Bumbu,Bumbu kacang,Keripik bunda,05100020321120,0.4
